,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,summary,genres
2007,"Rowell, Rainbow",Eleanor & Park,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,"Eleanor is the new girl in town, and she's never felt more alone. All mismatched clothes, mad red hair and chaotic home life, she couldn't stick out more if she tried.Then she takes the seat on the bus next to Park. Quiet, careful and - in Eleanor's eyes - impossibly cool, Park's worked out that flying under the radar is the best way to get by.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall in love. They fall in love the way you do the first time, when you're 16, and you have nothing and everything to lose.Set over the course of one school year in 1986, Eleanor & Park is funny, sad, shocking and true - an exquisite nostalgia trip for anyone who has never forgotten their first love.","Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age"
2008,"Rowell, Rainbow",Eleanor & Park,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,"Eleanor is the new girl in town, and she's never felt more alone. All mismatched clothes, mad red hair and chaotic home life, she couldn't stick out more if she tried.Then she takes the seat on the bus next to Park. Quiet, careful and - in Eleanor's eyes - impossibly cool, Park's worked out that flying under the radar is the best way to get by.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall in love. They fall in love the way you do the first time, when you're 16, and you have nothing and everything to lose.Set over the course of one school year in 1986, Eleanor & Park is funny, sad, shocking and true - an exquisite nostalgia trip for anyone who has never forgotten their first love.","Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age"
2009,"Rowell, Rainbow",Eleanor & Park,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,"Eleanor is the new girl in town, and she's never felt more alone. All mismatched clothes, mad red hair and chaotic home life, she couldn't stick out more if she tried.Then she takes the seat on the bus next to Park. Quiet, careful and - in Eleanor's eyes - impossibly cool, Park's worked out that flying under the radar is the best way to get by.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall in love. They fall in love the way you do the first time, when you're 16, and you have nothing and everything to lose.Set over the course of one school year in 1986, Eleanor & Park is funny, sad, shocking and true - an exquisite nostalgia trip for anyone who has never forgotten their first love.","Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age"
2010,"Rowell, Rainbow",Eleanor & Park,Banned in Libraries,,,,Tennessee,Wilson County School District,March 2022,Other,"Eleanor is the new girl in town, and she's never felt more alone. All mismatched clothes, mad red hair and chaotic home life, she couldn't stick out more if she tried.Then she takes the seat on the bus next to Park. Quiet, careful and - in Eleanor's eyes - impossibly cool, Park's worked out that flying under the radar is the best way to get by.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall in love. They fall in love the way you do the first time, when you're 16, and you have nothing and everything to lose.Set over the course of one school year in 1986, Eleanor & Park is funny, sad, shocking and true - an exquisite nostalgia trip for anyone who has never forgotten their first love.","Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age"
2011,"Rowell, Rainbow",Eleanor & Park,Banned in Libraries and Classrooms,,,,Texas,Fredericksburg Independent School District,March 2022,Administrator,"Eleanor is the new girl in town, and she's never felt more alone. All mismatched clothes, mad red hair and chaotic home life, she couldn't stick out more if she tried.Then she takes the seat on the bus next to Park. Quiet, careful and - in Eleanor's eyes - impossibly cool, Park's worked out that flying under the radar is the best way to get by.Slowly, steadily, through late-night conversations and an ever-growing stack of mix tapes, Eleanor and Park fall in love. They fall in love the way you do the first time, when you're 16, and you have nothing and everything to lose.Set over the course of one school year in 1986, Eleanor & Park is funny, sad, shocking and true - an exquisite nostalgia trip for anyone who has never forgotten their first love.","Young Adult, Romance, Fiction, Contemporary, Realistic Fiction, Audiobook, Coming Of Age"
2032,"Saad, Layla F.","Me and White Supremacy: Combat Racism, Change the World, and Become a Good Ancestor",Banned in Classrooms,,,,Pennsylvania,Central York School District,August 2021,Administrator,"Me and White Supremacy teaches readers how to dismantle the privilege within themselves so that they can stop (often unconsciously) inflicting damage on people of colour, and in turn, help other white people do better, too.When Layla Saad began an Instagram challenge called #MeAndWhiteSupremacy, she never predicted it would spread as widely as it did. She encouraged people to own up and share their racist behaviors, big and small. She was looking for truth, and she got it. Thousands of people participated in the challenge, and over 90,000 people downloaded the Me and White Supremacy Workbook.The updated and expanded Me and White Supremacy takes the work deeper by adding more historical and cultural contexts, sharing moving stories and anecdotes, and including expanded definitions, examples, and further resources.Awareness leads to action, and action leads to change. The numbers show that readers are ready to do this work - let's give it to them.","Nonfiction, Race, Anti Racist, Social Justice, Audiobook, Politics, Self Help"
2118,"Sebold, Alice",The Lovely Bones,Banned in Classrooms,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,"""My name was Salmon, like the fish; first name, Susie. I was fourteen when I was murdered on December 6, 1973.""So begins the story of Susie Salmon, who is adjusting to her new home in heaven, a place that is not at all what she expected, even as she is watching life on earth continue without her -- her friends trading rumors about her disappearance, her killer trying to cover his tracks, her grief-stricken family unraveling. Out of unspeakable tragedy and loss, The Lovely Bones succeeds, miraculously, in building a tale filled with hope, humor, suspense, even joy.","Fiction, Mystery, Young Adult, Contemporary, Fantasy, Crime, Thriller"
2149,"Silvera, Adam",More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2150,"Silvera, Adam",More Happy Than Not,Banned in Libraries and Classrooms,,,,Florida,Lee County Schools,March 2022,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2151,"Silvera, Adam",More Happy Than Not,Banned in Libraries,,,,Florida,Polk County Public Schools,January 2022,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2152,"Silvera, Adam",More Happy Than Not,Banned in Libraries,,,,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2153,"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Florida,Walton County School District,April 2022,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2154,"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2155,"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2156,"Silvera, Adam",More Happy Than Not,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"Part Eternal Sunshine of the Spotless Mind, part Aristotle and Dante Discover the Secrets of the Universe, Adam Silvera's extraordinary debut confronts race, class, and sexuality during one charged near-future summer in the Bronx. Sixteen-year-old Aaron Soto is struggling to find happiness after a family tragedy leaves him reeling. He's slowly remembering what happiness might feel like this summer with the support of his girlfriend Genevieve, but it's his new best friend, Thomas, who really gets Aaron to open up about his past and confront his future.As Thomas and Aaron get closer, Aaron discovers things about himself that threaten to shatter his newfound contentment. A revolutionary memory-alteration procedure, courtesy of the Leteo Institute, might be the way to straighten himself out. But what if it means forgetting who he truly is?","Young Adult, LGBT, Contemporary, Fiction, Romance, Queer, Science Fiction"
2157,"Silvera, Adam",They Both Die at the End,Banned Pending Investigation,,,,Tennessee,Collierville Schools,February 2022,Administrator,"On September 5th, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: they're going to die today. Mateo and Rufus are total strangers, but for different reasosn, they're both looking for a new friend on their End Day. The good news: there's an app for that. It's called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventure - to live a lifetime in a single day.","Young Adult, Romance, LGBT, Fiction, Contemporary, Queer, Audiobook"
2158,"Silvera, Adam",They Both Die at the End,Banned Pending Investigation,,,,Texas,Granbury Independent School District,January 2022,Administrator,"On September 5th, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: they're going to die today. Mateo and Rufus are total strangers, but for different reasosn, they're both looking for a new friend on their End Day. The good news: there's an app for that. It's called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventure - to live a lifetime in a single day.","Young Adult, Romance, LGBT, Fiction, Contemporary, Queer, Audiobook"
2159,"Silvera, Adam",They Both Die at the End,Banned Pending Investigation,,,,Texas,North East Independent School District,December 2021,Administrator,"On September 5th, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: they're going to die today. Mateo and Rufus are total strangers, but for different reasosn, they're both looking for a new friend on their End Day. The good news: there's an app for that. It's called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventure - to live a lifetime in a single day.","Young Adult, Romance, LGBT, Fiction, Contemporary, Queer, Audiobook"
2181,"Sloan, Holly Goldberg",To Night Owl from Dogfish,Banned Pending Investigation,"Wolitzer, Meg",,,Florida,Duval County Public Schools,January 2022,Administrator,"Avery Bloom, who's bookish, intense, and afraid of many things, particularly deep water, lives in New York City. Bett Devlin, who's fearless, outgoing, and loves all animals as well as the ocean, lives in California. What they have in common is that they are both twelve years old, and are both being raised by single, gay dads.When their dads fall in love, Bett and Avery are sent, against their will, to the same sleepaway camp. Their dads hope that they will find common ground and become friends--and possibly, one day, even sisters. But things soon go off the rails for the girls (and for their dads too), and they find themselves on a summer adventure that neither of them could have predicted. Now that they can't imagine life without each other, will the two girls (who sometimes call themselves Night Owl and Dogfish) figure out a way to be a family?","Middle Grade, LGBT, Fiction, Realistic Fiction, Contemporary, Young Adult, Childrens"
2182,"Sloan, Holly Goldberg",To Night Owl from Dogfish,Banned in Classrooms,"Wolitzer, Meg",,,North Carolina,Wilkes County School District,June 2022,Administrator,"Avery Bloom, who's bookish, intense, and afraid of many things, particularly deep water, lives in New York City. Bett Devlin, who's fearless, outgoing, and loves all animals as well as the ocean, lives in California. What they have in common is that they are both twelve years old, and are both being raised by single, gay dads.When their dads fall in love, Bett and Avery are sent, against their will, to the same sleepaway camp. Their dads hope that they will find common ground and become friends--and possibly, one day, even sisters. But things soon go off the rails for the girls (and for their dads too), and they find themselves on a summer adventure that neither of them could have predicted. Now that they can't imagine life without each other, will the two girls (who sometimes call themselves Night Owl and Dogfish) figure out a way to be a family?","Middle Grade, LGBT, Fiction, Realistic Fiction, Contemporary, Young Adult, Childrens"
2262,"Stone, Nic",Dear Martin,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2263,"Stone, Nic",Dear Martin,Banned Pending Investigation,,,,Florida,Lee County Schools,May 2022,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2264,"Stone, Nic",Dear Martin,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2265,"Stone, Nic",Dear Martin,Banned in Classrooms,,,,Missouri,Monett R-1 School District,December 2021,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2266,"Stone, Nic",Dear Martin,Banned in Libraries and Classrooms,,,,New York,Marlboro Central School District,February 2022,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2267,"Stone, Nic",Dear Martin,Banned in Classrooms,,,,North Carolina,Haywood County Schools,January 2022,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2268,"Stone, Nic",Dear Martin,Banned in Libraries,,,,Wisconsin,School District of Waukesha,December 2021,Administrator,"Raw, captivating, and undeniably real, Nic Stone joins industry giants Jason Reynolds and Walter Dean Myers as she boldly tackles American race relations in this stunning debut.Justyce McAllister is top of his class and set for the Ivy League—but none of that matters to the police officer who just put him in handcuffs. And despite leaving his rough neighborhood behind, he can't escape the scorn of his former peers or the ridicule of his new classmates. Justyce looks to the teachings of Dr. Martin Luther King Jr. for answers. But do they hold up anymore? He starts a journal to Dr. King to find out.Then comes the day Justyce goes driving with his best friend, Manny, windows rolled down, music turned up—way up, sparking the fury of a white off-duty cop beside them. Words fly. Shots are fired. Justyce and Manny are caught in the crosshairs. In the media fallout, it's Justyce who is under attack.","Young Adult, Contemporary, Fiction, Realistic Fiction, Audiobook, Race, Social Justice"
2291,"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Brevard Public Schools,March 2022,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2292,"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Indian River County School District,November 2021,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2293,"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Lee County Schools,May 2022,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2294,"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Florida,St. Lucie Public Schools,January 2022,Formal Challenge,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2295,"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Florida,Walton County School District,April 2022,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2296,"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Georgia,Forsyth County Schools,January 2022,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2297,"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Kansas,Goddard Public Schools,November 2021,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2298,"Tamaki, Mariko",This One Summer,Banned Pending Investigation,,"Tamaki, Jillian",,Texas,Birdville Independent School District,October 2021,Formal Challenge,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
2299,"Tamaki, Mariko",This One Summer,Banned in Libraries,,"Tamaki, Jillian",,Texas,Cypress-Fairbanks Independent School District,January 2022,Administrator,"Every summer, Rose goes with her mom and dad to a lake house in Awago Beach. It's their getaway, their refuge. Rosie's friend Windy is always there, too, like the little sister she never had. But this summer is different. Rose's mom and dad won't stop fighting, and when Rose and Windy seek a distraction from the drama, they find themselves with a whole new set of problems. It's a summer of secrets and sorrow and growing up, and it's a good thing Rose and Windy have each other.In This One Summer two stellar creators redefine the teen graphic novel. Cousins Mariko and Jillian Tamaki, the team behind Skim, have collaborated on this gorgeous, heartbreaking, and ultimately hopeful story about a girl on the cusp of her teen age—a story of renewal and revelation.","Graphic Novels, Young Adult, Comics, Fiction, Contemporary, Realistic Fiction, Coming Of Age"
